aarmm;Aar;Maaned;afd1txt;FagmedTxt;sygdom_dv;ansatte_dv;mulige_dvdage;fproc_dv;sygdom_kal;ansatte_kal;mulige_kaldage;fravproc_kal
201102;2011;2;Kultur & Sundhed;FagMED Kultur & Borgerservice;264,1446703;291,7798151;5835,596303;0,045264;375;333;9324;0,04021879
201102;2011;2;Kultur & Sundhed;FagMED Sundhed;103,0295405;119,2209884;2384,419768;0,043209;148;139,8928571;3917;0,037784018
201102;2011;2;Teknik & Miljø;FagMED Teknik & Miljø;415,1418919;484,7405405;9694,810811;0,042821;516;494,6428571;13850;0,037256317
201102;2011;2;Uden for organisationen;;10;62,43243243;1248,648649;0,008008;10;63;1764;0,005668934
201102;2011;2;Uden for organisationen;FagMED Kultur & Borgerservice;2;8,864864864;177,2972973;0,01128;2;8,999999999;252;0,007936507
201102;2011;2;Velfærdsforvaltningen;FagMED Administration Velfærd;217,7027027;156,4932432;3129,864865;0,069556;296;161,4642857;4521;0,06547224
201102;2011;2;Velfærdsforvaltningen;FagMED Senior;1861,713648;1591,357269;31827,1454;0,058494;2767;1780,178571;49845;0,055512087
201102;2011;2;Velfærdsforvaltningen;FagMED Voksen Drift;1318,852703;1112,524027;22250,48054;0,059272;1889;1212,821428;33959;0,055625901
201102;2011;2;Velfærdsforvaltningen;Plejecenter Solgaven;121,0048649;52,89010808;1057,802162;0,114392;193;62,28571428;1744;0,110665137
201102;2011;2;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;304,7837838;292,4739189;5849,478378;0,052104;381;307,1785714;8601;0,044297174
201102;2011;2;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;49,16216216;91,88424324;1837,684865;0,026752;58;94,99999999;2660;0,021804511
201103;2011;3;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1755,135135;1529,44712;35177,28378;0,049893;2252;1663,032258;51554;0,043682352
201103;2011;3;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;349,8243243;442,5814334;10179,37297;0,034365;496;493,3225806;15293;0,032433139
201103;2011;3;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1736,608486;1908,367656;43892,45611;0,039565;2141;2026,838709;62832;0,034074993
201103;2011;3;Kommunaldirektørens område;Kommunaldirektørens stabe;35,21621621;107,2615746;2467,016216;0,014274;40;110,1290322;3414;0,011716461
201103;2011;3;Kultur & Sundhed;FagMED Kultur & Borgerservice;309,1159459;292,8178865;6734,811391;0,045898;428;334,3548387;10365;0,041292812
201103;2011;3;Kultur & Sundhed;FagMED Sundhed;81,38542084;114,3987674;2631,171652;0,030931;117;133,9354839;4152;0,02817919
201103;2011;3;Teknik & Miljø;FagMED Teknik & Miljø;496,2905405;483,5314923;11121,22432;0,044625;619;493,548387;15300;0,040457516
201103;2011;3;Uden for organisationen;;29;61,43243242;1412,945946;0,020524;39;61,99999999;1922;0,020291363
201103;2011;3;Uden for organisationen;FagMED Kultur & Borgerservice;7;8,864864863;203,8918919;0,034331;7;8,999999999;279;0,025089605
201103;2011;3;Velfærdsforvaltningen;FagMED Administration Velfærd;176,1824324;153,5621621;3531,92973;0,049882;231;159;4929;0,046865489
201103;2011;3;Velfærdsforvaltningen;FagMED Senior;1788,653594;1550,346528;35657,97016;0,050161;2627;1739,677419;53930;0,048711292
201103;2011;3;Velfærdsforvaltningen;FagMED Voksen Drift;1223,036486;1106,634488;25452,59324;0,048051;1683;1208,193548;37454;0,04493512
201103;2011;3;Velfærdsforvaltningen;Plejecenter Solgaven;92,98172972;53,06637129;1220,526541;0,076181;146;62,64516128;1942;0,075180226
201103;2011;3;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;297,6216216;297,0737602;6832,696486;0,043558;369;312,516129;9688;0,038088356
201103;2011;3;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;25,60810811;92,88424322;2136,337595;0,011986;29;95,99999999;2976;0,009744623
201104;2011;4;Børne- og Ungeforvaltningen;FagMED Dagtilbud;988,608108;1518,747747;27337,45946;0,036163;1494;1652,566667;49577;0,030134941
201104;2011;4;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;235,9459459;449,6918917;8094,454054;0,029149;392;502,4333333;15073;0,026006767
201104;2011;4;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1074,25473;1924,886642;34647,95957;0,031004;1614;2045,4;61362;0,026302923
201104;2011;4;Kommunaldirektørens område;Kommunaldirektørens stabe;28,54054054;100,9423423;1816,962162;0,015707;32;103,6666667;3110;0,010289389
201104;2011;4;Kultur & Sundhed;FagMED Kultur & Borgerservice;179,8290919;295,0501466;5310,90264;0,03386;306;336,5333333;10096;0,030309033
201104;2011;4;Kultur & Sundhed;FagMED Sundhed;59,0184749;114,3585649;2058,45417;0,028671;102;133,9;4017;0,025392083
201104;2011;4;Teknik & Miljø;FagMED Teknik & Miljø;317,1351351;500,8180179;9014,724324;0,035179;472;513,2;15396;0,030657313
201104;2011;4;Uden for organisationen;;10;61,43243242;1105,783784;0,009043;10;61,99999999;1860;0,005376344
201104;2011;4;Uden for organisationen;FagMED Kultur & Borgerservice;8;8,86486486;159,5675676;0,050135;9;8,999999997;270;0,033333333
201104;2011;4;Velfærdsforvaltningen;FagMED Administration Velfærd;85,82432432;148,8309309;2678,956757;0,032036;130;153,9333333;4618;0,028150714
201104;2011;4;Velfærdsforvaltningen;FagMED Senior;1286,877838;1569,666269;28253,99286;0,045546;2269;1761,866666;52856;0,042927955
201104;2011;4;Velfærdsforvaltningen;FagMED Voksen Drift;962,4999999;1113,206246;20037,71243;0,048034;1582;1216,066667;36482;0,04336385
201104;2011;4;Velfærdsforvaltningen;Plejecenter Solgaven;47,96897296;51,57329125;928,3192432;0,051672;95;61,23333333;1837;0,051714752
201104;2011;4;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;158,8108108;303,66009;5465,881622;0,029054;224;318,6333333;9559;0,023433413
201104;2011;4;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;10;94,5599189;1702,078541;0,005875;10;97,99999999;2940;0,00340136
201105;2011;5;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1196,391892;1518,942728;31897,7973;0,037507;1661;1651,516129;51197;0,032443307
201105;2011;5;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;291,027027;449,6339766;9442,313513;0,030821;456;504,8064516;15649;0,029139242
201105;2011;5;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1307,536243;1935,230781;40639,84641;0,032173;1813;2057,806451;63792;0,028420491
201105;2011;5;Kommunaldirektørens område;Kommunaldirektørens stabe;26,75675675;97,61029599;2049,816216;0,013053;37;99,99999999;3100;0,011935483
201105;2011;5;Kultur & Sundhed;FagMED Kultur & Borgerservice;193,1940324;298,740301;6273,546323;0,030795;271;340,9677419;10570;0,025638599
201105;2011;5;Kultur & Sundhed;FagMED Sundhed;76,99384169;113,0867503;2374,821757;0,03242;116;133,7419355;4146;0,027978774
201105;2011;5;Teknik & Miljø;FagMED Teknik & Miljø;327,6216216;502,5574002;10553,70541;0,031043;428;515,0645161;15967;0,026805285
201105;2011;5;Uden for organisationen;;10,94594595;61,19433718;1285,081081;0,008517;11;61,74193547;1914;0,005747126
201105;2011;5;Uden for organisationen;FagMED Kultur & Borgerservice;19;8,864864863;186,1621622;0,102061;22;8,999999999;279;0,078853046
201105;2011;5;Velfærdsforvaltningen;FagMED Administration Velfærd;101,222973;145,2314028;3049,859459;0,033189;134;148,5806451;4606;0,029092488
201105;2011;5;Velfærdsforvaltningen;FagMED Senior;1545,121513;1600,617724;33612,97222;0,045968;2416;1789,774193;55483;0,043544869
201105;2011;5;Velfærdsforvaltningen;FagMED Voksen Drift;1116,598649;1105,864247;23223,14919;0,048081;1705;1209,064516;37481;0,045489714
201105;2011;5;Velfærdsforvaltningen;Plejecenter Solgaven;77,62199998;51,56320974;1082,827405;0,071684;143;61,8064516;1916;0,074634655
201105;2011;5;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;175,3235135;301,7572329;6336,901892;0,027667;229;317;9827;0,023303144
201105;2011;5;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;19;92,12748647;1934,677216;0,00982;20;94,99999999;2945;0,006791171
201106;2011;6;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1159,391892;1508,274324;30165,48649;0,038434;1630;1641,833333;49255;0,033093086
201106;2011;6;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;307,3378378;449,6783782;8993,567567;0,034173;492;506;15180;0,032411067
201106;2011;6;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;994,5153783;1923,306475;38466,12951;0,025854;1469;2044,666666;61340;0,023948483
201106;2011;6;Kommunaldirektørens område;Kommunaldirektørens stabe;16,08108108;96,97837836;1939,567568;0,008291;18;99,99999999;3000;0,006
201106;2011;6;Kultur & Sundhed;FagMED Kultur & Borgerservice;191,2550919;299,4758107;5989,516216;0,031931;289;342,4333333;10273;0,028131996
201106;2011;6;Kultur & Sundhed;FagMED Sundhed;81,42056756;113,3088494;2266,176988;0,035928;125;134,3333333;4030;0,031017369
201106;2011;6;Teknik & Miljø;FagMED Teknik & Miljø;326,6216216;499,227027;9984,540541;0,032712;449;510,7999999;15324;0,029300443
201106;2011;6;Uden for organisationen;;11,86486486;62,54729729;1250,945946;0,009484;12;63,1;1893;0,006339144
201106;2011;6;Uden for organisationen;FagMED Kultur & Borgerservice;22;9,764864864;195,2972973;0,112648;32;9,833333332;295;0,108474576
201106;2011;6;Velfærdsforvaltningen;FagMED Administration Velfærd;97,05405405;149,1567567;2983,135135;0,032534;132;152,9;4587;0,028776978
201106;2011;6;Velfærdsforvaltningen;FagMED Senior;1292,866135;1589,672486;31793,44973;0,040664;2091;1784,133333;53524;0,039066586
201106;2011;6;Velfærdsforvaltningen;FagMED Voksen Drift;956,0945945;1103,866756;22077,33513;0,043306;1515;1210,333333;36310;0,041724042
201106;2011;6;Velfærdsforvaltningen;Plejecenter Solgaven;61,82864864;55,65227023;1113,045405;0,055549;122;67,13333333;2014;0,060575968
201106;2011;6;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;183,6216216;303,8486486;6076,972973;0,030215;249;318,8666666;9566;0,026029688
201106;2011;6;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;14;92,15451351;1843,09027;0,007595;14;94,93333333;2848;0,00491573
201107;2011;7;Børne- og Ungeforvaltningen;FagMED Dagtilbud;715,3783783;1470,05534;30871,16216;0,023173;1058;1596,129032;49480;0,021382376
201107;2011;7;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;211,9054054;443,5857141;9315,3;0,022748;333;499,8064516;15494;0,02149219
201107;2011;7;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;394,3173513;1846,401871;38774,4393;0,010169;602;1950,225806;60457;0,00995749
201107;2011;7;Kommunaldirektørens område;Kommunaldirektørens stabe;5;95,35675674;2002,491892;0,002496;5;97,99999999;3038;0,001645819
201107;2011;7;Kultur & Sundhed;FagMED Kultur & Borgerservice;139,1372973;296,0726305;6217,525242;0,022378;195;335,6774193;10406;0,018739188
201107;2011;7;Kultur & Sundhed;FagMED Sundhed;59,41621621;113,0423088;2373,888486;0,025029;88;133,9354839;4152;0,021194605
201107;2011;7;Teknik & Miljø;FagMED Teknik & Miljø;272,6216216;498,2968983;10464,23486;0,026052;385;507,2580645;15725;0,024483306
201107;2011;7;Uden for organisationen;;1;62,29729729;1308,243243;0,000764;1;62,99999999;1953;0,000512032
201107;2011;7;Uden for organisationen;FagMED Kultur & Borgerservice;7;9,91248391;208,1621622;0,033627;11;9,967741934;309;0,035598705
201107;2011;7;Velfærdsforvaltningen;FagMED Administration Velfærd;86,69594594;147,1400257;3089,940541;0,028057;125;150,483871;4665;0,026795284
201107;2011;7;Velfærdsforvaltningen;FagMED Senior;1153,057838;1589,444918;33378,3433;0,034545;1864;1788,838709;55454;0,033613445
201107;2011;7;Velfærdsforvaltningen;FagMED Voksen Drift;773,0405405;1091,383873;22919,06135;0,033729;1223;1197,580645;37125;0,03294276
201107;2011;7;Velfærdsforvaltningen;Plejecenter Solgaven;94,06605404;57,10632428;1199,232811;0,078438;170;69;2139;0,07947639
201107;2011;7;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;185,7567568;308,2940797;6474,175676;0,028691;258;322,4193548;9995;0,025812906
201107;2011;7;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;3;90,41216215;1898,655405;0,00158;3;91,99999999;2852;0,001051893
201108;2011;8;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1160,878378;1489,596709;34260,72432;0,033883;1546;1616,645161;50116;0,030848431
201108;2011;8;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;323,8513513;450,6786719;10365,60946;0,031242;476;504,2258064;15631;0,030452306
201108;2011;8;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;853,3126486;1859,176333;42761,05568;0,019955;1119;1975,516129;61241;0,018272072
201108;2011;8;Kommunaldirektørens område;Kommunaldirektørens stabe;8,864864864;94,38965919;2170,962162;0,004083;9;97,06451611;3009;0,002991026
201108;2011;8;Kultur & Sundhed;FagMED Kultur & Borgerservice;202,0667567;306,1830583;7042,210343;0,028693;269;346,7096774;10748;0,025027912
201108;2011;8;Kultur & Sundhed;FagMED Sundhed;123,0663243;114,0864346;2623,987996;0,0469;178;135,3225806;4195;0,042431466
201108;2011;8;Teknik & Miljø;FagMED Teknik & Miljø;333,6351351;492,3290833;11323,56892;0,029463;418;501,032258;15532;0,026912181
201108;2011;8;Uden for organisationen;;2;62,29729729;1432,837838;0,001395;2;63;1953;0,001024065
201108;2011;8;Uden for organisationen;FagMED Kultur & Borgerservice;;8,864864864;203,8918919;;;9;279;
201108;2011;8;Velfærdsforvaltningen;FagMED Administration Velfærd;130,4932432;147,7219741;3397,605405;0,038407;166;151,483871;4696;0,035349233
201108;2011;8;Velfærdsforvaltningen;FagMED Senior;1326,584594;1578,062542;36295,43849;0,036549;1900;1772,709677;54954;0,034574371
201108;2011;8;Velfærdsforvaltningen;FagMED Voksen Drift;1128,383784;1094,203243;25166,67459;0,044836;1599;1199;37169;0,04301972
201108;2011;8;Velfærdsforvaltningen;Plejecenter Solgaven;84,04545945;58,25673556;1339,904919;0,062724;141;70,64516128;2190;0,064383561
201108;2011;8;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;240,0810811;309,2183783;7112,022703;0,033757;291;323,9354838;10042;0,028978291
201108;2011;8;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;10;89,30405404;2053,993243;0,004868;10;90,99999999;2821;0,003544842
201109;2011;9;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1700,216216;1497,103439;32936,27568;0,051621;2259;1626,433333;48793;0,046297624
201109;2011;9;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;543,9216216;445,788329;9807,343243;0,05546;756;496,3333333;14890;0,05077233
201109;2011;9;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1643,143567;1850,763238;40716,79124;0,040355;2118;1969,233333;59077;0,035851515
201109;2011;9;Kommunaldirektørens område;Kommunaldirektørens stabe;21,62162162;97,06560194;2135,443243;0,010125;22;100,6333333;3019;0,007287181
201109;2011;9;Kultur & Sundhed;FagMED Kultur & Borgerservice;252,0289838;310,0825669;6821,816473;0,036944;333;349,9666666;10499;0,031717306
201109;2011;9;Kultur & Sundhed;FagMED Sundhed;152,8421004;115,2027346;2534,460162;0,060305;221;137,4;4122;0,05361475
201109;2011;9;Teknik & Miljø;FagMED Teknik & Miljø;466,7837838;490,4603193;10790,12703;0,04326;571;499,3;14979;0,038120034
201109;2011;9;Uden for organisationen;;41,72972973;62,16216215;1367,567568;0,030513;52;63;1890;0,027513227
201109;2011;9;Uden for organisationen;FagMED Kultur & Borgerservice;12;8,864864864;195,027027;0,061529;14;9;270;0,051851851
201109;2011;9;Velfærdsforvaltningen;FagMED Administration Velfærd;183,2837838;155,4061425;3418,935135;0,053608;234;159,6333333;4789;0,048861975
201109;2011;9;Velfærdsforvaltningen;FagMED Senior;1872,640648;1574,364903;34636,02789;0,054066;2707;1758,066666;52742;0,051325319
201109;2011;9;Velfærdsforvaltningen;FagMED Voksen Drift;1322,352703;1089,55785;23970,2727;0,055166;1822;1189,966667;35699;0,051037844
201109;2011;9;Velfærdsforvaltningen;Plejecenter Solgaven;139,2696757;56,6186093;1245,609405;0,111808;244;68,83333333;2065;0,118159806
201109;2011;9;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;334,9524324;308,9672235;6797,278919;0,049277;432;323,6;9708;0,044499381
201109;2011;9;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;36;91,50675674;2013,148649;0,017882;38;93;2790;0,013620071
201110;2011;10;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1569,027027;1515,84054;31832,65135;0,049289;2275;1650,967742;51180;0,044450957
201110;2011;10;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;476,4729729;439,899292;9237,885135;0,051578;692;488,9354838;15157;0,045655472
201110;2011;10;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1398,025162;1850,279377;38855,86692;0,035979;1934;1972,096774;61135;0,031634906
201110;2011;10;Kommunaldirektørens område;Kommunaldirektørens stabe;59,51351351;95,2314028;1999,859459;0,029758;78;99,03225805;3070;0,025407166
201110;2011;10;Kultur & Sundhed;FagMED Kultur & Borgerservice;236,6088865;306,4148472;6434,711793;0,03677;346;346,1290322;10730;0,032246039
201110;2011;10;Kultur & Sundhed;FagMED Sundhed;149,0275135;118,7211621;2493,144405;0,059774;250;141;4371;0,057195149
201110;2011;10;Teknik & Miljø;FagMED Teknik & Miljø;481,5810811;493,0448519;10353,94189;0,046511;663;501,8387096;15557;0,042617471
201110;2011;10;Uden for organisationen;;1;64,01930501;1344,405405;0,000743;1;64,83870967;2010;0,000497512
201110;2011;10;Uden for organisationen;FagMED Kultur & Borgerservice;15,59459459;8,864864864;186,1621622;0,083768;16;9;279;0,05734767
201110;2011;10;Velfærdsforvaltningen;FagMED Administration Velfærd;107,6486486;155,0418919;3255,87973;0,033062;155;159;4929;0,03144654
201110;2011;10;Velfærdsforvaltningen;FagMED Senior;1920,270378;1558,077711;32719,63195;0,058688;2946;1745,903226;54123;0,054431572
201110;2011;10;Velfærdsforvaltningen;FagMED Voksen Drift;1164,063513;1077,547773;22628,50324;0,051442;1753;1180,774193;36604;0,04789094
201110;2011;10;Velfærdsforvaltningen;Plejecenter Solgaven;114,684973;56,43064861;1185,043622;0,096777;222;67,99999999;2108;0,105313092
201110;2011;10;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;256,4054054;304,4279279;6392,986486;0,040107;355;319,1290322;9893;0,035883958
201110;2011;10;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;46,78378378;90,69723294;1904,641892;0,024563;59;92,19354838;2858;0,020643806
201111;2011;11;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1908,243243;1522,355282;33491,81622;0,056976;2547;1658,1;49743;0,051203184
201111;2011;11;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;435,2837837;440,8273954;9698,202703;0,044882;588;492;14760;0,039837398
201111;2011;11;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;2235,899676;1847,33356;40641,33832;0,055015;2902;1970,133333;59104;0,049099891
201111;2011;11;Kommunaldirektørens område;Kommunaldirektørens stabe;30,37837838;97,3189189;2141,016216;0,014188;35;101;3030;0,011551155
201111;2011;11;Kultur & Sundhed;FagMED Kultur & Borgerservice;270,9727567;306,7508716;6748,519176;0,040152;348;345,8666666;10376;0,033538936
201111;2011;11;Kultur & Sundhed;FagMED Sundhed;108,1296062;117,9908894;2595,799568;0,041655;161;140,2;4206;0,038278649
201111;2011;11;Teknik & Miljø;FagMED Teknik & Miljø;579,7567567;477,0195577;10494,43027;0,055244;752;485,4333333;14563;0,051637712
201111;2011;11;Uden for organisationen;;18,79648648;63,22945945;1391,048108;0,013512;21;64;1920;0,0109375
201111;2011;11;Uden for organisationen;FagMED Kultur & Borgerservice;5;8,864864862;195,027027;0,025637;5;8,999999998;270;0,018518518
201111;2011;11;Velfærdsforvaltningen;FagMED Administration Velfærd;89,86486486;158,2372236;3481,218919;0,025814;115;162,3666667;4871;0,023609115
201111;2011;11;Velfærdsforvaltningen;FagMED Senior;1924,803621;1510,192387;33224,23254;0,057933;2823;1699,566667;50987;0,055367054
201111;2011;11;Velfærdsforvaltningen;FagMED Voksen Drift;1387,167567;1067,598427;23487,1654;0,05906;1930;1174,333333;35230;0,054782855
201111;2011;11;Velfærdsforvaltningen;Plejecenter Solgaven;101,1704865;56,04981323;1233,095892;0,082045;173;67,33333333;2020;0,085643564
201111;2011;11;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;237,2432432;300,4803439;6610,567568;0,035888;298;314,8;9444;0,031554426
201111;2011;11;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;64,35135135;90,50675674;1991,148649;0,032318;76;91,99999999;2760;0,027536231
201112;2011;12;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1839,608108;1526,593436;32058,46216;0,057382;2614;1660,83871;51486;0,050771083
201112;2011;12;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;390,8581081;430,6573357;9043,804054;0,043218;561;479;14849;0,037780321
201112;2011;12;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1907,541081;1847,528825;38798,10534;0,049165;2683;1974,290322;61203;0,04383772
201112;2011;12;Kommunaldirektørens område;Kommunaldirektørens stabe;67,03783783;96,1245817;2018,616216;0,033209;91;99,58064515;3087;0,029478458
201112;2011;12;Kultur & Sundhed;FagMED Kultur & Borgerservice;238,3043243;298,0677249;6259,422225;0,038071;317;336,516129;10432;0,030387269
201112;2011;12;Kultur & Sundhed;FagMED Sundhed;110,0867297;116,1649433;2439,463811;0,045127;163;139,2903226;4318;0,037748957
201112;2011;12;Teknik & Miljø;FagMED Teknik & Miljø;485,5675676;471,827027;9908,367568;0,049005;662;479,9677419;14879;0,044492237
201112;2011;12;Uden for organisationen;;;63,29729729;1329,243243;;;64;1984;
201112;2011;12;Uden for organisationen;FagMED Kultur & Borgerservice;5;8,864864864;186,1621622;0,026858;5;9;279;0,017921146
201112;2011;12;Velfærdsforvaltningen;FagMED Administration Velfærd;110,3108108;156,4913771;3286,318919;0,033566;136;160,4838709;4975;0,027336683
201112;2011;12;Velfærdsforvaltningen;FagMED Senior;1945,890216;1495,390496;31403,20043;0,061964;3021;1689,548387;52376;0,057679089
201112;2011;12;Velfærdsforvaltningen;FagMED Voksen Drift;1270,678378;1065,398339;22373,36513;0,056794;1858;1172,709677;36354;0,051108543
201112;2011;12;Velfærdsforvaltningen;Plejecenter Solgaven;101,1963243;56,56578375;1187,881459;0,08519;168;68;2108;0,079696394
201112;2011;12;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;247,054054;296,4176318;6224,77027;0,039688;321;310,7419354;9633;0,033322952
201112;2011;12;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;59,54054054;89,91763191;1888,27027;0,031531;77;91,12903225;2825;0,027256637
201201;2012;1;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1709,581081;1525,69312;33565,24865;0,050933;2290;1656,387097;51348;0,044597647
201201;2012;1;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;476,3783783;440,0116706;9680,256757;0,049211;699;488,4193548;15141;0,046166039
201201;2012;1;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1808,316838;1851,932632;40742,51792;0,044384;2448;1979,419355;61362;0,039894397
201201;2012;1;Kommunaldirektørens område;Kommunaldirektørens stabe;43,14054054;97,04864863;2135,07027;0,020205;55;99,99999999;3100;0,017741935
201201;2012;1;Kultur & Sundhed;FagMED Kultur & Borgerservice;208,7181081;300,2379574;6605,235066;0,031598;284;339,2580645;10517;0,027003898
201201;2012;1;Kultur & Sundhed;FagMED Sundhed;101,4629421;116,1708044;2555,757699;0,039699;147;139,4193548;4322;0,034012031
201201;2012;1;Teknik & Miljø;FagMED Teknik & Miljø;446,1081081;470,9563881;10361,04054;0,043056;560;478,3548387;14829;0,037763841
